"","adrenal.gland","colon","esophagus","kidney","liver","lung","ovary","pancreas","prostate","testis","spleen","stomach","heart"
"ENSG00000148229",NA,NA,NA,NA,5.95153054662947,NA,6.166351132458,NA,5.92470397951357,5.79173540976185,5.85471534972133,5.78030170838263,NA
"ENSG00000115484",7.99726876808454,7.73097317952325,7.89639048998899,7.29970221719321,7.91131549564636,7.33509263732811,7.6943006377138,7.81700154143879,7.75778094197932,7.50907783354225,6.48577315188321,6.97226309905668,7.4060017723853
"ENSG00000188811",NA,NA,NA,6.15120681240107,NA,NA,6.18104086344782,NA,NA,NA,5.88237109402085,5.92124479861851,NA
"ENSG00000110719",6.94411814678735,5.79505276506281,NA,NA,NA,6.38670862592564,NA,NA,NA,5.97132453613651,5.55250303548283,NA,NA
"ENSG00000143545",6.36177869361613,5.74892744339363,6.431455650263,6.57674043903056,NA,6.99231203549455,6.3507906190942,6.62982168872907,6.83894250491692,6.48965104287025,6.34353508927694,6.4312126795896,NA
"ENSG00000204291",7.13955054495927,7.12448686919178,6.13458399221772,5.69758200623239,NA,6.32343566628415,5.66327786761898,6.81742724716607,7.43415595039715,6.40397065589585,4.77733110443713,6.24035540943775,7.02099933105849
"ENSG00000154710",NA,5.6714732441617,NA,NA,NA,NA,NA,NA,NA,NA,5.41856893015436,5.19531453111871,NA
"ENSG00000132470",NA,6.348853330045,5.63877001206702,NA,NA,5.48357655718534,NA,NA,5.58818900807729,NA,5.24671131290017,6.1991757642994,NA
"ENSG00000108381",5.71534401569093,NA,6.23458443163384,7.26647500326373,NA,NA,6.00722358038197,NA,6.30502741702118,5.90543360503461,6.52443540693064,5.67982349826147,NA
"ENSG00000065054",6.48574002251671,6.80564758725211,NA,7.20817706308722,6.61996544155042,7.28427352860564,NA,NA,6.52220989168354,6.36718341387097,6.58459472595338,6.15302129636406,7.59122240457642
"ENSG00000164733",7.21425070216724,7.27721695757499,7.41582263937306,8.09111143325291,8.01848815459468,7.45123467504875,7.07060722880295,7.29287068760105,7.70282273310235,7.17991645550489,7.84975726866465,7.20381389380842,7.87722461025722
"ENSG00000124164",7.43126770749792,7.37806453416173,7.00655027245982,6.98450474765593,6.90193189115831,7.4747339218793,6.98236574466249,6.91719253491837,7.16933571829068,6.47686813690648,6.4786087434044,6.61975731918438,7.67485470330215
"ENSG00000166974",6.78246888579541,5.7818927092722,NA,NA,NA,NA,NA,NA,5.9332487205597,5.63063591262893,6.72270408675115,6.56361576530276,6.37758510727897
"ENSG00000140650",6.40069448217784,6.80252975858006,NA,6.76388908922358,6.56856057052438,6.59207798444641,6.298550787738,7.1178368341258,6.37055883232677,6.06615887077657,6.22020931627241,6.92936428647192,6.18339603518353
"ENSG00000184787",6.39017773791743,6.77506107615785,NA,NA,NA,NA,6.09589951098815,NA,NA,5.56690112358287,NA,6.3249780000574,NA
"ENSG00000162704",6.69694584772612,7.85074166003098,6.9574424598219,7.33287395344502,6.86651516912701,7.49600854701961,7.12308821146126,7.37326029976534,7.4284062074038,7.27718922151828,8.29098450859169,7.65819024682672,6.35878520139039
"ENSG00000096006",NA,6.17153818492327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000107566",6.45175574225018,6.88315939696622,NA,6.10973551241522,6.61364302873155,7.10644966333412,NA,5.91376028416794,5.9649172735399,6.87286338693802,NA,NA,NA
"ENSG00000167994",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.73927801367113,5.02329401389357,NA,NA
"ENSG00000104320",5.3955692852023,5.69487522932772,NA,NA,NA,NA,4.9816556274543,NA,NA,NA,6.03360850038614,NA,NA
"ENSG00000064042",NA,NA,NA,NA,NA,6.29545512775257,NA,NA,5.21101236102112,NA,4.98952396011917,NA,5.99929408697021
"ENSG00000065613",6.17408531297163,6.5166467470225,5.89378972269713,NA,5.71607515363606,5.680058830894,6.23047888575839,NA,6.12557377478349,6.46356942157856,5.80094522029309,6.18285970454251,NA
"ENSG00000163125",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.57872201800115,NA,NA,NA
"ENSG00000116030",6.02406038096964,NA,NA,6.21569254421434,6.21372471873832,NA,6.92805381203874,7.24364986540036,NA,6.62232251788855,6.6133569810593,5.80215600378496,NA
"ENSG00000197756",7.41308172370883,7.78416741624534,NA,7.55195196874178,7.83234791015092,7.55236838915866,6.77389049830072,7.80200546336283,7.41272983904872,7.26929850667063,NA,NA,7.31233006679278
"ENSG00000104442",5.80604720596654,6.76496159576068,5.98591839107006,6.02204270586406,NA,NA,6.28321765786046,NA,NA,6.13192541486524,NA,6.15667392077051,6.4046852082999
"ENSG00000113391",NA,6.03155188359494,NA,5.435456955428,NA,NA,NA,NA,6.04222845872236,6.31927405827609,NA,5.52892982024019,NA
"ENSG00000101680",NA,NA,NA,4.00653533234899,NA,NA,6.50382693735765,NA,NA,NA,NA,NA,NA
"ENSG00000073754",5.47796021302791,6.34051727783065,NA,6.02187328397041,NA,NA,NA,NA,5.57987403049462,5.09110930290617,6.58035287035122,NA,NA
"ENSG00000069849",7.2369226763478,7.3018705141768,7.41971675417116,6.43072984489509,NA,7.3353879114684,6.41937914496605,6.03626947526684,7.32796838816221,6.57591089529863,NA,6.28610462449119,NA
"ENSG00000110841",5.73284064446462,5.81563236002226,NA,NA,NA,6.08558298402648,NA,NA,NA,5.90164262111488,NA,5.35850200710367,NA
"ENSG00000198380",6.89365079534014,7.05770606339748,5.91149782694649,6.58480855881047,7.37883045987982,6.66895251624963,6.94572303980361,7.89217159658566,6.97285225475522,6.73282319997521,6.09128064116429,7.53370448741549,NA
"ENSG00000152904",NA,5.47854597438901,NA,NA,NA,NA,NA,NA,5.8192777156825,5.86823765719383,5.90568690408298,5.96123132508534,NA
"ENSG00000168918",NA,5.33518988568595,NA,NA,NA,NA,NA,NA,NA,NA,6.95832088179458,5.17525974430311,NA
"ENSG00000188986",5.69848051582612,5.94064832169979,NA,5.09616113743526,NA,5.75373417372872,5.95920734438406,6.07032857421999,NA,5.92198612365589,5.83763567484972,6.02042644747671,NA
"ENSG00000040933",NA,5.55922499479631,NA,NA,NA,NA,NA,NA,NA,NA,6.44736554434783,5.40302839604084,NA
"ENSG00000116957",5.54321802469601,5.18615136269962,NA,NA,NA,NA,6.00185614803296,NA,NA,5.49566690195959,5.48534110271194,5.65338925597002,5.34092675744864
"ENSG00000132703",8.24202989758664,7.92320048698029,8.67597037949992,8.17416882744092,7.81182943005596,9.12579160331492,8.32264874407504,8.54898883453295,8.90242376425235,7.81138595665065,7.9069936516151,7.85918149679166,8.59587024848243
"ENSG00000115944",6.48484018287337,6.7155725418472,NA,6.8343629224132,6.78770576303954,6.34273596772087,6.12116453685605,NA,6.47920284286581,NA,NA,NA,7.37183726431722
"ENSG00000138802",5.459576172742,5.77384626711731,NA,NA,5.09829779690322,NA,5.62490631807261,NA,NA,5.61794510975556,5.67122819532025,6.01715289877018,NA
"ENSG00000004864",7.36534759797838,6.26200193206474,5.99325902104787,7.3587319510116,8.14198933671667,5.82817020359646,7.14219922290576,6.98662607316863,6.52374646732018,5.71618593951102,NA,6.37407500096953,7.49158982896815
"ENSG00000139613",6.07687955943427,6.0498818704249,NA,NA,5.67221298201726,NA,6.26393258420271,6.08570597842105,5.88542421302247,6.40947849787797,5.80669563251651,5.86280893901419,NA
"ENSG00000206075",NA,NA,8.17614275200446,NA,NA,6.39372862492163,NA,NA,6.58137903022925,NA,NA,7.26243832291806,NA
"ENSG00000047188",4.86036795688182,NA,NA,4.7328107434854,NA,NA,6.19740292125131,NA,NA,NA,NA,4.1991757642994,NA
"ENSG00000104853",6.74015477835623,6.26092172166855,6.25354674465422,NA,6.90907874376609,5.9631762107355,6.14701216419771,NA,5.78513249812992,6.06217734991254,NA,5.86943989176791,5.86218126493728
"ENSG00000111652",6.84887297150815,6.22561034604721,NA,6.70715945546256,NA,6.83757817486186,6.76656592070667,NA,6.58786650715309,6.68626277018095,6.23102376715381,6.18042030717406,7.41125516416066
"ENSG00000158864",7.32443327454027,7.00610497203807,6.72429763306114,7.30737384599735,6.83218958499014,6.85382489286669,6.59760120144221,6.59389159500669,6.84098179067969,6.3676788578004,5.66527945162344,6.23506846188361,8.7607120203372
"ENSG00000168268",6.29671931550737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000166710",7.33397440552889,8.21874814017586,NA,7.77443455574745,7.53316566329728,8.37299733653714,7.40437102384045,7.68733781260564,9.51807666779371,7.10442292720738,8.39737657588914,5.71677958980616,7.84453647844302
"ENSG00000078142",5.66142863408653,5.45443743762671,NA,NA,NA,NA,5.54295374611642,NA,NA,5.47753669173588,5.71975165818563,5.65863269503459,NA
"ENSG00000048740",NA,6.08586118542636,NA,NA,NA,6.00756591338044,NA,NA,NA,5.79679579510051,6.96410969232021,5.1972608624264,NA
"ENSG00000014216",7.26351328331902,7.59313506681337,7.93149768938635,7.03023152401364,7.46917137611311,7.43046353801278,7.08268012502778,7.78463849137746,8.0584671171021,7.35619771776676,7.76398783095736,7.89044886650534,7.10133703808745
"ENSG00000156113",NA,6.38682679265446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000080493",NA,5.89014683777274,NA,7.19475312301887,NA,NA,NA,6.44934032288887,NA,NA,NA,NA,NA
"ENSG00000079689",NA,6.52674175875734,NA,NA,NA,NA,NA,7.51536551908561,NA,NA,NA,6.34095707961463,NA
"ENSG00000131378",5.88677885091413,6.12532669336013,NA,5.336721738557,NA,6.61948070830349,5.82272043036906,5.93790588403302,6.06861266445582,5.79601993188153,6.12732660701327,5.37014940730783,6.06670656579064
"ENSG00000131187",6.25169071598415,5.84191903179917,NA,6.34965307993023,NA,5.03984546684478,6.59233696706971,NA,6.95284276434105,6.73634597154889,5.47541749812875,5.90469259183803,5.73260902480993
"ENSG00000136100",5.93076452618206,5.94709557678906,NA,6.00750444506897,NA,NA,5.19121247419143,NA,NA,5.46003563816655,5.57922522901437,6.31690122683753,NA
"ENSG00000048392",5.98557057164015,5.09612830945619,NA,5.74312893513246,NA,NA,NA,NA,4.84956886179753,5.99219090404961,5.90905260340677,5.78971689181468,NA
"ENSG00000148795",9.48393591659025,NA,NA,6.51437154462144,NA,NA,7.3694059624942,NA,NA,NA,NA,NA,NA
"ENSG00000101439",6.90753771868067,5.86192670907108,NA,6.91658536540071,NA,6.68285294949053,6.79560122526056,NA,7.28037648405622,6.70137921831735,6.14626406341022,6.2406036013572,6.5983809466099
"ENSG00000135090",5.8185523998638,6.15065889436803,NA,NA,NA,NA,5.53747989292519,NA,5.08890177614451,NA,5.87952121309852,5.75482191864273,NA
"ENSG00000164932",NA,NA,NA,NA,NA,6.42020699446549,NA,NA,NA,NA,NA,NA,NA
"ENSG00000075945",4.96518195168673,NA,NA,NA,NA,NA,5.63264238501229,NA,NA,NA,4.69971185433661,4.8542670936664,NA
"ENSG00000162191",6.1321842374581,7.19086898540193,NA,5.7968439697502,NA,NA,6.10934972895642,6.20528288318585,6.9523242074323,6.30304364352145,6.46878691922974,6.28450033911191,6.20446362397676
"ENSG00000102900",6.36065466958256,6.14577209910523,6.28151292090253,NA,5.84083285100523,6.71458063784348,6.84117242663762,6.76485865591487,6.24447532860458,6.65550258305818,6.25905984264337,6.43856235223808,5.86309368168721
"ENSG00000124356",NA,5.52970571458903,NA,NA,NA,NA,6.01151202336845,NA,NA,NA,NA,5.99183665680096,NA
"ENSG00000213934",NA,NA,NA,6.00891409660724,NA,6.29418471070721,NA,NA,7.75804450895441,NA,6.96105850715211,NA,NA
"ENSG00000150753",7.53492007080817,7.45813572118238,7.20114481763001,6.87490949986154,7.31776752755396,7.50617100457423,7.35004615168851,7.44186834891668,7.76031655145532,6.89332719263162,5.80285368232376,7.04352252805874,7.47643065396778
"ENSG00000172531",6.24250696989829,7.74912639479159,6.83378567729332,7.5028258521667,5.91571263930634,6.88843306641843,7.43876865673218,NA,5.78504083888928,6.680616227094,7.51968081556564,7.34416173682002,NA
"ENSG00000124588",7.17616338749168,6.65573157326227,7.26229190675517,7.90767642610479,7.35211398705225,5.91112915715088,6.20872384293079,5.93199184952362,6.54314078103616,6.811207314357,NA,6.30308496497617,6.63085998142361
"ENSG00000076258",NA,NA,NA,5.34733881052997,5.51873921902314,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000242247",6.40658083110615,5.88147726273211,NA,NA,NA,NA,NA,5.93264257728886,NA,NA,6.12988794521813,6.74484284837378,NA
"ENSG00000137880",NA,6.30829291528736,NA,7.44780365742778,8.01010957858121,NA,NA,NA,5.73164233244507,NA,NA,NA,NA
"ENSG00000103855",6.08026665549119,5.66911990620356,NA,NA,NA,NA,5.94261609648644,NA,6.16843286199361,6.53523552578037,5.99636210260502,5.31804451798504,NA
"ENSG00000176986",6.64458580350104,6.49206791343266,6.12867674791494,NA,6.67229216912766,6.34652830484814,6.4146203476504,6.58572172737913,6.30143885005016,6.70498704525964,6.84354359063692,6.9579139736389,6.08335548258807
"ENSG00000155629",NA,NA,NA,NA,6.36855335534615,NA,NA,6.52439275331835,NA,NA,5.48451508611925,4.6465741896372,NA
"ENSG00000126107",5.83807329344055,6.18500568369624,NA,NA,NA,5.31686206656449,5.22970794062179,5.48444817602237,5.59987117910081,5.69338201674616,6.43020466709107,6.02217370014524,NA
"ENSG00000197312",NA,6.43187041475478,NA,5.93936446086947,NA,NA,NA,6.11148859218203,NA,NA,6.71495319948563,6.14713807927011,NA
"ENSG00000198498",NA,NA,NA,NA,NA,NA,6.44780316667528,NA,NA,6.38608494595274,NA,NA,NA
"ENSG00000106665",5.45475563104554,6.22666453744975,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7950792650292,NA
"ENSG00000129472",6.03726749749845,NA,NA,NA,NA,6.15604478983222,6.44570849134706,NA,6.57412406902902,6.02834989198423,NA,NA,5.80740345651869
"ENSG00000091140",8.13713998914731,7.71637837426427,7.7384122481395,8.14538206379066,7.88597310112837,7.51721114100563,7.30359856480498,7.46006160480866,7.43791238465359,7.17818051777483,7.39039149544874,7.53518652527683,9.03251277604869
"ENSG00000084110",NA,NA,NA,NA,7.07167691712781,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000076555",NA,4.65578062933945,NA,NA,6.61245210948046,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000123472",6.61503202676727,6.11986239645896,NA,6.82164559148252,NA,NA,NA,NA,NA,NA,NA,NA,6.62692573715813
"ENSG00000116120",6.97918353885362,6.50509988145632,6.2831396641766,6.4300277472714,6.232551554269,6.49313813720439,6.94388459560935,7.5239765490335,6.74196443799578,6.79649709332492,6.68645432446202,7.01489880010007,6.92540918073254
"ENSG00000071242",NA,NA,NA,NA,NA,NA,4.87575678668723,NA,4.85875779726603,NA,NA,5.69709656829502,NA
"ENSG00000078618",5.83612215453352,5.33127943220512,NA,NA,6.49212809365758,NA,5.98231559621823,NA,NA,NA,6.57689747442798,6.25949862388901,NA
"ENSG00000172292",NA,5.6668762955001,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.15127230405357,NA
"ENSG00000138115",NA,NA,NA,NA,7.4001020507307,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000107262",5.36193399571573,5.84134887599833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000105205",NA,7.40085004070802,NA,NA,NA,NA,NA,NA,NA,NA,7.1030947686302,6.8204187560792,NA
"ENSG00000015676",NA,5.71917311325008,NA,NA,5.77905692421262,NA,6.08693739541804,NA,NA,5.46995847525773,5.77172462150293,5.30322819013433,NA
"ENSG00000125746",7.01885943493145,6.46396227429078,7.04688055604019,6.32263369308702,NA,6.38024809586423,5.59388217727962,6.78738096656045,7.34109709014811,NA,6.47896779087073,6.94768536942739,6.96533896739171
"ENSG00000137124",6.43597596883973,7.43441884979381,7.43697349254958,8.09984360356212,7.78711055479855,6.75793511780231,7.03305087599587,6.628589487881,7.92189759395381,7.14240761983651,6.19659286252182,7.66670671172061,6.64792963638604
"ENSG00000180011",6.18123531451667,5.9559997635213,NA,6.41514324437872,5.86425100466339,NA,5.41170340032869,NA,5.46064701439031,5.57318461631216,5.29137368891044,6.38806471634024,6.73362650551408
"ENSG00000163882",6.35319621240674,NA,NA,6.36440035252645,6.40382642456324,6.42914604844983,6.23293332115184,6.19282287724219,6.84069115873482,6.37296722902452,NA,5.95256898878021,6.09256904326125
"ENSG00000129353",4.97879220953359,6.3503807764871,5.93671771968228,5.92239606695513,5.79199684707481,6.49805454428556,6.33953244074119,6.48639105972909,6.53501654430717,6.31530875510557,6.20939077179278,6.75729542318463,NA
"ENSG00000104823",8.12777006336623,7.49495031126074,7.76958426549617,8.45178402218032,8.16873943026572,8.05946789983786,7.23157622424135,7.44278586376193,7.73109550427421,7.38291485561729,7.8719023307091,7.39683922960108,8.89781226783129
"ENSG00000125744",6.18902841464777,6.00228244707533,7.20108296443419,5.93467631887414,NA,6.30321261128441,NA,NA,6.87112169376375,NA,6.20648793860373,6.14015902716132,6.84754379832783
"ENSG00000076356",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.58392442150682,NA,4.85205706725172,NA
