,adrenal.gland,esophagus,testis,kidney,ovary,pancreas,prostate,liver,stomach,spleen,colon,lung
ENSG00000240303,5.80136254271253,NA,5.41276469647698,5.67350260182264,NA,NA,NA,5.52295403999278,NA,NA,NA,7.79244530567648
ENSG00000151498,6.45748828090444,5.56106088413511,6.43420349883371,6.87965581063437,5.79446925470384,5.85426975302447,5.52464641240844,6.09749753871409,6.38852091579391,6.23019956699501,6.21822045625607,6.46117431593041
ENSG00000177646,6.46924748409219,6.0537638120346,5.9476147721334,6.67880680496162,5.7675093536342,5.96912072996104,NA,6.11467128121109,6.63582231220048,6.09865019566725,6.17401545053051,6.74123585470986
ENSG00000115361,NA,NA,NA,6.92658813432697,5.09520835437272,5.14542395250778,4.64171524333995,NA,NA,NA,NA,NA
ENSG00000117054,7.24059916431988,7.16907811246841,7.02692346390753,8.54517647437153,7.01169356555539,7.47316401415149,7.13957715972526,7.05235702944444,7.52518790676927,7.58296572815079,7.26814891470111,NA
ENSG00000122971,7.46434048462767,6.3718504524132,6.75557162491097,7.68673857881297,6.433178454056,6.98961879657959,6.74183540143227,6.37938455866704,6.98260979842514,7.5229724481849,7.71740283681911,8.32457710089627
ENSG00000196177,7.57651411205196,6.4553995383306,6.61866032942702,8.2369487042573,6.5708102614452,6.54963427918559,7.01326320099625,6.81305523763889,7.09983077384868,6.68537305515453,6.72817126341687,8.23127282964415
ENSG00000072778,8.15766827273877,7.44751775625559,7.19461259714625,8.08339204878657,6.7732434720961,7.37484019647757,7.07779726128685,7.40332022528696,7.81313251986418,7.62951864060173,7.82048099050194,8.24189805675575
ENSG00000072818,NA,NA,NA,NA,NA,5.28220396129189,NA,NA,5.34388471652313,6.16262376379282,NA,NA
ENSG00000114331,5.81733394859946,6.28826761785476,5.52202826489687,NA,6.01105182996481,NA,4.60605641339856,5.46463518710436,6.03699609964002,5.81524224696439,5.68541059826202,5.31714183460786
ENSG00000075239,8.49066065335614,7.33166744457241,7.47973530851959,8.86330053637366,7.66818901237009,7.57301017075368,7.93196216178256,7.63913675302905,7.89869587975063,7.92536272899942,7.51898082646693,6.61264508478432
ENSG00000120437,7.58699215739537,6.77577909553424,8.1391077954819,6.7930932375194,6.74339801607444,6.93632259213364,7.02313260040996,6.92806840398438,7.15589559254143,7.28080437471338,6.31506151124297,8.40658160021657
ENSG00000182827,6.24632620751237,6.55463849211318,6.16426676765661,6.17972533156429,5.93754262914177,5.51531972480668,5.92483857587511,6.45953020434954,7.0456332011222,6.18620630830626,5.64241159460913,6.21680048923788
ENSG00000107897,4.44997181056689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.49881598335932
ENSG00000135847,5.47404134517133,5.40538208704916,5.74116219480742,NA,NA,NA,NA,NA,NA,NA,5.62859894509323,NA
ENSG00000159640,NA,5.87567081336276,5.85856780667542,7.10713754720081,5.45894319605047,5.7232831832232,4.62946133756303,6.41514168425881,5.83324208789373,NA,5.56722442929175,NA
ENSG00000130234,NA,NA,4.90464097094297,6.98607935857416,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000100813,4.72457076193828,4.54897624677186,4.38928293887514,NA,NA,4.87919441648158,NA,NA,4.66013837792816,NA,NA,NA
ENSG00000153086,NA,NA,NA,6.78422048319232,NA,NA,NA,NA,NA,NA,NA,6.72847798075802
ENSG00000100412,8.07169794522162,8.02435569439168,8.18726764841156,6.94090683175009,7.43585499400472,7.69756063826939,7.83460851243721,7.60926847394823,8.10666751780533,7.87718419679415,8.0252603099278,8.22327394553055
ENSG00000184227,7.6664899002625,7.19317830248108,NA,8.10098799736366,6.80878132158261,NA,7.50625019207183,NA,NA,NA,NA,7.32496835721273
ENSG00000162390,NA,5.58066359854539,NA,NA,NA,NA,NA,5.20874063578742,6.44133231349685,NA,5.99236447566934,NA
ENSG00000112304,7.90022507201035,6.77514653002604,7.27845037019131,8.13819526216432,7.22515101623308,7.13607471260053,7.07439641277061,7.32733945508815,5.82899535016306,6.66039631277722,7.35436545806782,8.48016352829225
ENSG00000119673,6.37947956333151,4.6719569856783,NA,6.56255508557023,5.6823324930558,NA,6.56443582164734,NA,NA,NA,NA,5.55852709068121
ENSG00000097021,6.33461457117939,6.75067373367312,6.08213717764069,7.12545669137625,NA,6.2259880389325,6.60019774298273,6.1063758061318,6.49197369422276,6.82975975123676,6.65054871644776,NA
ENSG00000101473,6.34613773016044,5.11862732450967,5.94335283905703,6.69922558819352,NA,NA,NA,6.2589149815624,6.12617821333415,5.75484489167866,5.86142346416853,6.18742515655001
ENSG00000123130,7.0886675525424,6.64706327585848,6.69514552914643,6.37875512725384,6.33408840836393,6.35967757349322,7.26116351201317,6.91620790080737,6.87352257342802,6.96115924561975,6.84659058065919,5.93873991854089
ENSG00000161533,6.99916535307705,7.33531096056115,7.16323542978741,7.95380022937155,NA,5.91743784574235,5.50612618986333,6.7466460557761,6.98237003885413,6.1219465103702,7.18603432632534,7.88561897697646
ENSG00000168306,NA,NA,4.84865324815744,7.14361931985745,NA,NA,NA,4.82957203679197,NA,NA,4.97174313739787,8.09635915062112
ENSG00000087008,5.10765082614649,NA,5.32150551737529,5.4316227661576,NA,NA,NA,5.39748180372598,5.5371756318193,NA,NA,6.62192182399226
ENSG00000143727,8.56280657480339,7.95018274341653,8.00054151158177,7.74702542651046,7.58037596978424,7.79304194221014,7.3907270419427,7.67178374174084,7.48706635972802,7.82629063710802,7.72504088424756,7.6017866084131
ENSG00000134575,6.54377014026961,5.29268862659014,6.42301765585515,5.63406516444242,NA,6.03721160617451,NA,6.2332469479622,6.3024039996907,6.49137686163337,5.98591651634549,6.47326982034435
ENSG00000102575,NA,NA,NA,6.46805620620172,NA,6.36383865568562,NA,6.36470504712724,NA,5.81384276103343,NA,NA
ENSG00000162836,5.79911989938817,NA,4.95169755784788,NA,NA,NA,5.90911381660678,NA,5.57560608831007,NA,5.30159895204119,NA
ENSG00000167107,7.69162954246697,NA,5.56354723149063,8.24719509195957,6.34733025703431,6.23979358108969,NA,6.71918144708541,6.88876934682856,NA,7.16878599403258,7.08184719604702
ENSG00000176715,7.13436838460338,6.56351917612267,6.25713041096245,7.14634736116851,6.28873093616614,5.75338550382727,5.85911666912649,5.88668654577126,6.79547705773672,NA,6.28355147069202,6.82009204873789
ENSG00000151726,7.5570498090441,7.35034253769335,6.49178709304152,8.34111175366914,6.28296640877434,7.4876652805841,7.03394527649299,7.97210504411669,7.39079475249001,6.74825255769608,7.3979550542473,8.81759920520744
ENSG00000123983,6.42160392686983,6.88047613496725,6.97746905770143,5.67342915442149,5.93491041771535,5.62068527084332,6.64253699284132,6.35852068495883,6.98641320876948,5.9076480307311,6.44085205155005,6.47945622671276
ENSG00000068366,6.57499144397749,6.43604886389885,6.48670312823631,6.71134114064665,5.80745429184268,6.21046470196851,6.06210689479119,6.67792994981356,6.58080443660483,6.61161714217815,6.00539984516534,NA
ENSG00000197142,NA,NA,NA,NA,NA,NA,NA,6.46121871561141,6.49672302692953,5.66635142134889,6.59233168124405,7.8358427636891
ENSG00000164398,5.18112869974729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.73910609616017
ENSG00000183747,NA,NA,NA,7.99588448589767,NA,NA,NA,NA,NA,NA,NA,7.92725641871911
ENSG00000066813,NA,NA,NA,8.72333525932999,NA,NA,NA,NA,NA,NA,NA,8.60237510510781
ENSG00000005187,NA,NA,NA,7.26086086166272,NA,NA,NA,NA,5.23621874530894,NA,6.11456364205943,7.59044385850928
ENSG00000183549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.22524652037624
ENSG00000154930,5.98651645528034,6.02016954715754,7.160280052034,7.05248604974084,NA,6.19909180408231,5.9888642075258,6.34902447872085,6.92442519795403,6.15783314261716,6.3363057388014,NA
ENSG00000131069,7.22193559982801,6.64836234666679,6.65032304805993,6.29165052578794,6.06537171358813,6.19542628984139,6.07689227491309,6.03847494903352,6.89231099944941,5.82393036775845,6.87084264165701,7.584568187589
ENSG00000111058,6.86097251132297,NA,5.7960964410049,7.22024301075445,6.53876509578855,NA,5.37781292043987,NA,NA,5.39694328436086,NA,7.55098163303284
ENSG00000075624,NA,NA,5.28311530160061,6.3452130279516,7.72348367319446,6.58368859818805,7.93313814836148,6.3024047429799,NA,9.83788077735706,NA,NA
ENSG00000169067,NA,NA,NA,8.29359236465787,NA,NA,7.78827256386231,8.51213986993632,5.64615178736952,6.0384737699402,5.51763018257487,7.46870610054207
ENSG00000163017,5.99392095880129,7.09528730913037,NA,NA,NA,NA,8.08201635605799,NA,7.43630197097763,NA,7.4736691376847,NA
ENSG00000136518,6.29428982710072,6.35474330834016,5.96281517896249,NA,6.76542843103923,6.63001523450968,6.20064752632742,6.72947952227828,6.54452900733087,6.6199305052753,6.32982906962577,NA
ENSG00000072110,8.07205863354671,8.43134618057279,7.18002032291275,7.59459300320676,7.61513008571216,8.16834308593012,9.01984881194301,7.54506701250749,8.01953297853288,7.87578445601296,8.36430729755009,7.73520799743237
ENSG00000130402,9.79230201944541,9.95672753961875,9.23828088671537,9.35800479889118,8.56058907862852,8.83337214935551,8.74158528012686,8.40740580179579,8.36109033684275,8.25795566610558,7.92605689682661,8.36142684048679
ENSG00000131966,6.12162549220847,5.52557587030288,NA,NA,5.0141554321328,5.74099525552224,6.40706765193553,NA,5.51310282752057,5.64402003657382,6.05258343713904,NA
ENSG00000138107,7.42682019996336,6.87669687687864,7.05650423785194,6.62722935677846,6.62893160410411,7.08256589663019,7.37940878090044,7.06677877177945,7.3444385805286,7.1232148770488,7.03035245187284,NA
ENSG00000115073,6.84564366732615,5.65983233665177,6.47895870586507,6.93132580335095,7.00792588876218,6.01057803527324,6.73079496817253,5.18227870770559,6.8147175682153,7.54932682267173,6.30080151113259,NA
ENSG00000138071,7.40907043755903,7.66843962081662,7.62635457236177,7.44146567499294,7.59030274178035,7.663085884527,7.62139298644706,7.74183095973483,7.85932081015559,8.46833762790943,7.67836311237014,6.73187518021334
ENSG00000115091,7.33551807589423,7.74160958234056,7.1668973966984,7.41045696607953,7.54828183322806,7.86660303318622,7.72479305271566,7.78322553403755,7.75369407788488,8.33237160488983,7.71385332361378,7.12029268541883
ENSG00000132744,NA,NA,NA,7.75165036242093,NA,5.70217405352023,NA,NA,NA,NA,NA,6.62474182147595
ENSG00000170634,6.39165832872247,6.35479380769858,6.10660640532927,6.10015930006748,6.25306572330209,6.59142888903313,6.9775335257184,6.30505453875581,NA,6.43007079774033,6.39161000085796,6.96206863424195
ENSG00000196839,NA,6.36190574849109,NA,NA,NA,6.30366869988005,5.88050241487258,5.97701759987601,6.91238987648732,7.72915503636193,6.13520234008108,NA
ENSG00000137845,NA,NA,5.53271372523769,5.91675917049703,NA,NA,5.58775637094152,6.01344881122104,6.74275936801443,6.23635489589622,5.43998770885279,NA
ENSG00000151694,NA,NA,5.76618952946422,NA,4.47491447291845,NA,NA,NA,NA,NA,NA,NA
ENSG00000168615,NA,4.24145599011865,NA,NA,NA,NA,NA,4.16329034268574,NA,NA,NA,NA
ENSG00000105963,NA,NA,NA,NA,NA,NA,NA,NA,6.09369742313621,6.23834888399375,NA,NA
ENSG00000160710,5.24417812502254,NA,5.91891112165929,5.27996503553244,5.19995693166585,5.81400313794586,4.53892997765085,5.43689749552403,5.48436178512922,6.35820931974671,5.30063044027038,4.97692615538568
ENSG00000063761,4.597245304665,NA,NA,NA,NA,NA,NA,NA,4.77042155733512,NA,NA,NA
ENSG00000163050,7.01464652468403,5.60886114410379,4.92954983251341,6.4474597578349,6.41355953498497,6.02936882186203,6.4518269163246,NA,6.52246281991692,NA,6.33281956789331,6.46100756819102
ENSG00000087274,6.61052176289591,6.63431878692175,6.99236644742411,6.97634647375844,7.20713040529257,7.07050977214125,6.78158281995949,6.50294471467289,6.87179067091784,6.61102910541929,6.9652149507009,5.55814624751049
ENSG00000148700,6.13823952346519,6.05216011814843,6.45248655716529,6.15093790805889,6.85936732095255,6.73643741642687,6.23750449876065,5.9382342173406,6.57115687206074,5.68714624359176,6.49889092442454,NA
ENSG00000187758,6.13713247600899,NA,NA,7.01712982658094,NA,NA,6.84895808447912,6.81032167471265,NA,NA,NA,8.38333899791057
ENSG00000196616,8.86554811425567,8.4553995383306,7.91950492723038,8.61710419929251,NA,8.97416719029772,8.4558747829954,8.34448279568999,8.35840743077884,NA,8.61774348491206,9.47491124297994
ENSG00000198099,5.92694407301623,5.21642798441672,NA,7.41797297645358,NA,5.77771578271412,NA,7.10833725495028,5.77497611640896,NA,NA,9.03718735403468
ENSG00000197894,7.89668050791538,7.973776906184,8.25138240016754,8.12298963211214,8.20008162144044,7.95542536820364,8.55763942596667,7.4980727848671,7.57151410551752,7.82911919003948,8.16974022563186,8.54471977196675
ENSG00000172955,NA,NA,NA,7.71461589805817,NA,NA,NA,NA,NA,NA,NA,8.8574487407874
ENSG00000196344,NA,7.50204933427734,NA,NA,NA,NA,NA,NA,6.13168651665857,NA,NA,NA
ENSG00000147576,NA,NA,NA,6.40232891864467,NA,NA,5.92157508454697,NA,5.62137791935786,NA,NA,7.13266112883155
ENSG00000182551,6.8206611346436,6.89442807311199,6.99524195935655,6.79641699504752,6.80580394768984,6.80200289312658,6.99432614677093,6.56565657018516,6.12149771667721,6.74808806981676,6.72925482339026,7.92039476132259
ENSG00000181092,5.83772728927217,6.7233256987277,5.36437873060212,6.43526061134774,5.95190696331038,6.78492264016011,6.35364471904374,6.26496938529575,5.18252893949841,5.44733695165035,6.5906065504076,NA
ENSG00000148671,NA,7.33714498604849,NA,7.99101195001003,8.32934923059486,6.56651006790042,7.43852321406166,6.40627776938283,NA,NA,6.61408064797518,6.9978199847179
ENSG00000156110,6.63084467902134,7.03520948600906,6.9361315402108,6.8258941998302,6.92197790561836,6.84636730999162,6.82374091352002,7.28326973253964,6.80627315884571,7.20263729732553,6.42974883879916,6.38208356328009
ENSG00000101126,4.35947500110838,NA,NA,NA,4.43694027857259,NA,NA,NA,3.63912217351252,NA,NA,NA
ENSG00000181915,5.73915287768872,6.13843951290111,5.93448648338816,5.68253912138446,6.54690027451587,6.01704781895327,6.34897275761767,NA,5.96048318625795,6.07689412523481,6.16704756098748,NA
ENSG00000159322,5.77131550240482,6.17154921149315,5.75264060232234,5.85209588049517,6.42477601383211,5.92905298756363,6.04305680305417,6.82612861939871,6.44392938795407,6.87383969909522,5.81402677425969,NA
ENSG00000144843,6.06224344102648,5.72689883037412,6.13619019458344,NA,NA,5.99517447525151,6.0856033002197,6.27976117181156,5.82579356900963,6.54990296745109,5.96103060522153,NA
ENSG00000116863,6.99586324898304,6.72296892650159,7.37162803379242,6.35908569362211,7.11072098465509,6.79572738555684,7.0303438344652,6.79094914966895,6.74736080401915,7.04176002266184,6.76485898738377,6.23208081961098
ENSG00000173020,5.63922742907026,6.19809551482559,NA,NA,5.49474852084434,5.82611428552074,NA,5.16548950562585,5.93303208674393,6.66309274578208,5.66483548277794,NA
ENSG00000130706,5.79502448368217,6.48951257969535,6.05436171225447,5.93941640117876,5.87117165180528,5.10218913525543,6.47216882106163,5.80125570319119,5.75590265463378,5.24530215016719,6.15808390287529,5.46790953062653
ENSG00000239900,6.56383691866454,6.80568868244355,6.61797767466508,6.61298710214255,6.33246761941513,6.4923111504725,6.77183466061216,6.75400249245008,6.6289350626101,6.96216971645376,6.65380273820445,6.55667687531959
ENSG00000035687,6.37979484327698,7.29379414636665,6.17042886020836,NA,6.64779734961408,6.57601139843827,7.01364882280412,6.80699885116903,7.01196837397008,7.23081197931741,6.69213510072947,NA
ENSG00000185100,NA,5.75352588747087,NA,6.51595747494802,NA,NA,5.75710488029025,NA,NA,NA,NA,5.45464741817551
ENSG00000106624,5.84705415746763,6.19900003150592,5.95138750743713,6.18307016819325,6.67710589831826,5.75379521563304,7.24014381013934,6.24400432502356,6.233789119493,5.42986247447359,6.59204021731798,4.38196925269657
ENSG00000104964,NA,6.17698226767458,6.02934937369178,NA,6.10772416026142,NA,5.86776403471881,NA,NA,6.1312517875574,6.29653579860854,NA
ENSG00000196526,NA,NA,NA,NA,NA,NA,5.06037968918623,NA,NA,NA,NA,NA
ENSG00000169129,NA,NA,NA,NA,5.58122344141428,NA,5.44180429116613,NA,NA,6.349593349426,NA,NA
ENSG00000141385,5.66411523870332,6.65659319188575,6.27159677757458,7.17769832708841,5.43345777826646,5.46336421417706,5.75771331857116,6.4148549993897,6.71772485607686,5.03412710525386,6.76166030967554,7.01139428280132
ENSG00000079557,6.64086884958762,7.75809861169253,7.26110078198009,6.84435211042441,6.99087443731108,7.29948076770513,7.51594372702891,6.76127613576264,6.55826594038255,5.66679154535355,7.3530117927636,6.19844067022005
ENSG00000183077,NA,NA,NA,6.91682907367801,NA,5.7766874989332,NA,NA,5.58477277080104,NA,NA,7.3220909250328
ENSG00000038002,6.49259278325571,6.2583632459554,6.59152386844799,6.19046594815911,NA,6.55989839808956,5.54421629864127,6.89309252307113,5.81280041848921,6.51565610772469,6.1052732651683,6.1754245266873
ENSG00000204305,NA,NA,NA,NA,NA,NA,NA,7.43073119584811,NA,NA,NA,NA
ENSG00000173744,6.49136169383427,5.58615219693542,5.69744596431629,NA,6.12631464634049,6.30093545803282,NA,NA,6.06721258485154,6.465138340381,5.74760695915371,NA
ENSG00000106351,5.42900898458089,NA,NA,NA,5.27677617678852,NA,NA,NA,NA,NA,NA,NA
ENSG00000006530,6.2313166429095,5.61296298080702,5.35550044464459,6.62195515346598,5.92390522206434,NA,6.72483989964757,NA,6.36258065601903,NA,6.04274306765433,NA
ENSG00000162688,5.34883037237848,4.79929446686029,5.57683517347219,6.46999664285907,5.5196798606497,6.19264739009096,4.63958279045544,4.43219622054526,6.49435485272885,5.48221231793929,6.75010073496249,6.3298295505897
ENSG00000116771,NA,NA,NA,8.61238165657701,NA,NA,NA,NA,NA,NA,6.4223294690501,7.42199567841451
ENSG00000092847,5.86644684653715,6.13764931922789,6.66183217505775,6.0657579401522,6.68250358156264,5.75516494069753,6.37559394416119,6.23018651032715,6.45103049817055,6.62455619332591,5.93523328684637,6.12236571890397
ENSG00000123908,5.86251300893505,6.39156915511984,5.6831630580065,5.25576643982303,6.26081288702536,6.09906586099134,6.86607535352633,6.03334911611341,6.16686333310175,6.36128782266148,6.84888548265853,4.01956894743347
ENSG00000126070,4.41737203485232,NA,5.8753105365113,5.20294126092573,6.16832029636196,NA,6.72789742011601,NA,5.04943886552079,5.95596939608058,6.39969206906073,NA
ENSG00000169692,NA,NA,NA,NA,NA,NA,NA,5.71107140528123,NA,NA,NA,6.63701940105326
ENSG00000160216,5.15173748103852,5.16138229491078,NA,7.17120985842629,NA,5.57825645510931,NA,5.48143922405137,NA,NA,5.96767732485621,7.06486268318311
ENSG00000155189,5.26707781674043,5.11640798329166,NA,5.86417728492301,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000018510,5.83742428430143,5.87326719552578,5.6202736534324,5.70788321131201,NA,NA,NA,6.37087581777621,6.63799740045964,6.00519659937808,5.77083544904869,6.55252826743776
ENSG00000106541,4.33599917760813,7.85793348567996,NA,NA,4.96847586797742,7.5419989346616,NA,7.98162404266783,9.01151308355584,NA,8.23697827950156,NA
ENSG00000173467,NA,5.83235247772685,NA,NA,NA,6.09345417799484,NA,6.690681034859,7.45253082899093,NA,7.96023656504491,NA
ENSG00000188157,5.09387675539004,5.52964613891418,6.56158995866844,6.55190074724217,4.74387945935137,6.36948589417308,4.75150213238986,5.84766332853571,5.70795984956915,5.91195120792477,5.07327678796588,5.47073775473381
