,kidney,liver,pancreas,prostate,stomach,adrenal.gland,testis,thyroid,esophagus,ovary,salivary.gland,spleen
ENSG00000215695,0.519437149734568,0.619177195193663,0.0187581821128437,0.16935856065769,0.267351491095728,0.204844514454136,0.34800173732155,0.382055011381674,0.552531920723998,0.0318191532587293,-0.24556528121801,-0.258700559944934
ENSG00000139835,1.21705272583052,1.42776487814609,0.843025497726082,1.15012883229923,1.13116487938843,0.838638092670806,0.821716576976394,0.357760720447411,0.936539808212106,0.881768824111168,1.11490013205401,0.699484780804683
ENSG00000166930,NA,NA,NA,NA,NA,NA,1.47018399524784,NA,NA,NA,NA,NA
ENSG00000198010,0.302536011870387,-1.01057534120894,-1.4780106960493,-0.956953197741497,-1.43866598486834,-0.572215895579437,0.82449575154556,-0.355189926283979,-0.934499986291931,-0.950716893868437,-0.922592686436984,-0.726845956206386
ENSG00000227011,NA,NA,NA,NA,NA,NA,0.633546216262629,NA,NA,NA,NA,NA
ENSG00000100600,2.16020515837004,1.95974674357602,1.4781659952507,1.65381785577208,1.99658293234529,1.61914314137697,1.52775173464813,1.93422388678519,1.76811101311916,1.42431497118102,1.51929023446056,2.25068635770398
ENSG00000109323,1.0225574442851,1.04626219747812,1.10261070105587,0.979034907691266,1.07961260186292,1.19925225461444,0.571966650417703,1.29297569094195,0.82762732774333,1.15268371600814,1.33923463870538,1.20140150198443
ENSG00000116667,0.993569364336548,1.80715391443667,1.48350115106376,1.8111625484916,1.31986754205103,1.92109110372964,1.0724387836076,1.1881892377858,1.89831464844687,1.76240711221844,1.22350749316246,1.50392245994418
ENSG00000149179,1.35052663355044,0.877489342533534,1.3641287736335,1.25588298229755,1.3776342769705,1.16729418889178,1.37391867565418,1.56266520767678,1.32975984951026,1.31868360302811,1.20837124700201,0.977886444636926
ENSG00000137270,0.0824783843379425,-1.89433270004752,-1.04541357959059,-2.03546979314568,-1.96681970827321,NA,-0.662227400688933,-2.22230850227762,-1.68534403440929,NA,-1.56853933540801,-0.928850465040523
ENSG00000170819,-0.61075415458601,-0.706453308237542,NA,-0.609165480269296,-0.0279917366607448,-1.11278839050404,-0.780159768055121,-1.61170765731777,-1.03357968835371,NA,-0.11251877758904,0.13289121670918
ENSG00000170802,0.840418053097935,1.33514435882564,0.934714007530601,0.725042711653592,0.918628893309178,0.754048160009125,0.765863152020633,0.859578366314389,0.979950091059526,0.747877535742273,0.714843817747613,1.21532222023096
ENSG00000164325,1.98759164207683,-1.67546427855269,NA,-1.31262584401259,-1.15768312135296,-1.6562804235202,-1.04527868831496,-1.12515001833862,NA,NA,NA,NA
ENSG00000170323,0.81194279402949,1.07768232018045,1.46526907543139,0.248953567841385,0.903936582304915,1.80977613212912,0.342446898354322,1.76722752051716,1.4278713467434,0.566619484609058,1.9324282059538,0.46865932523256
ENSG00000171484,NA,NA,NA,NA,NA,NA,-1.83592880769518,-1.94410603652808,-1.47931226077807,NA,NA,NA
ENSG00000168703,NA,NA,NA,-0.193937629166547,NA,NA,-0.879366234228613,-1.47836331080337,0.236918466652168,NA,NA,-1.5495756215649
