,adrenal.gland,esophagus,testis,kidney,ovary,pancreas,prostate,liver,colon,heart,lung
ENSG00000087274,6.61668552089551,6.74759482037375,7.40589586090963,5.86770110441144,7.1758632433952,6.96741158409859,6.95161588766176,5.69921929895241,7.09575365576472,6.09436269598196,7.29871532973219
ENSG00000148700,5.83450971538997,6.77064704853187,7.10152453783471,6.13921677166955,6.90471438833863,6.86875089656015,6.74940865970901,5.36280561267796,6.74026502226876,5.92025981650905,7.07810882571241
ENSG00000187758,6.31674592767093,NA,NA,NA,NA,NA,NA,8.40472608450142,NA,NA,NA
ENSG00000196616,8.63019388288837,NA,NA,8.87593983994922,NA,8.84318854672829,NA,9.81849351410272,8.32963590078106,NA,9.04009608237814
ENSG00000198099,7.04925679723223,NA,NA,6.20121888578321,NA,NA,NA,9.32173463704413,NA,NA,5.93226875362711
ENSG00000197894,7.50396763221622,8.28202419899084,8.02781567828588,8.07068042800259,6.86683083628595,7.63696184601199,8.38863494692416,7.9516541067226,8.12605003307364,7.688851257771,7.58960274310048
ENSG00000172955,NA,NA,NA,7.41337129793799,NA,NA,NA,9.08645846663001,NA,NA,NA
ENSG00000196344,NA,8.45657152699288,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000147576,NA,NA,NA,6.30720621363737,NA,NA,NA,6.18695827077663,NA,7.51454256062505,NA
ENSG00000182551,NA,NA,6.08404821644192,6.81642420144451,6.16856619344492,NA,6.53382014482226,6.72881610954114,5.81125643775953,NA,6.28132768951408
ENSG00000181092,6.3622562207831,6.90091557196591,NA,6.3520359541876,5.19258355616227,NA,6.08617858708948,NA,6.1454184411794,7.90625994255777,7.14675025917464
ENSG00000148671,NA,NA,6.71972782646668,6.35156166013923,5.81049439441959,NA,7.51013187430329,NA,NA,5.91607921706618,NA
ENSG00000156110,6.40790054014264,NA,6.72091976005095,6.86605307734718,NA,6.68737377972768,6.24096676459817,7.35166124942998,5.9255184805369,NA,6.2017936050438
ENSG00000101126,NA,NA,5.41097230773518,NA,5.17771030247942,NA,NA,NA,NA,NA,NA
ENSG00000181915,5.62982738104172,NA,6.10794889450136,NA,NA,NA,6.11263395905221,NA,5.86835884554043,NA,NA
ENSG00000159322,6.32440593380354,NA,5.87370148239069,5.58760829289392,6.18485234606608,6.24182401022341,6.39534043647138,NA,6.01110124312281,NA,6.55721513418288
ENSG00000144843,NA,NA,NA,5.67466882312048,5.69598258002639,NA,5.88114883448837,NA,5.96201959697614,NA,5.84910816278722
ENSG00000116863,6.9319559556741,NA,6.93365661065572,6.67650630102918,7.20301940272444,6.48329024901122,6.71116022374616,NA,6.74943471726523,NA,6.46434953400426
ENSG00000173020,NA,NA,NA,NA,NA,NA,5.91982291186851,5.09139169985686,4.81001619543161,NA,NA
ENSG00000130706,6.64671732456283,NA,6.73325034539784,6.15432061002999,6.94099342231203,NA,6.42986278315958,6.40473663369515,6.66025847725984,6.02465455392588,6.64508490398144
ENSG00000239900,6.0102575429983,7.10759936118421,6.2494078060732,6.42734245096054,6.9782629485567,6.28373409398598,6.40671298679616,6.30472734926918,6.65271018369731,6.73506386810177,6.33099592545736
ENSG00000035687,6.14550717140966,6.41863647561688,6.56645707301086,6.49994093256487,6.44932630053493,5.31524991426238,6.5746439953024,NA,6.40878265887512,NA,6.26203546283342
ENSG00000185100,NA,6.88097465077807,4.95281831694662,4.62398931659116,NA,NA,NA,NA,NA,7.67174073541961,NA
ENSG00000106624,6.58792413220841,NA,7.22248292460214,NA,6.33079963908433,6.73403558926964,7.36206077273582,6.62296253404756,6.82643486300908,NA,6.74386886038792
ENSG00000104964,NA,NA,5.88023446439187,NA,NA,NA,6.09809801063556,NA,NA,NA,5.88540650864583
ENSG00000196526,NA,NA,NA,NA,NA,NA,NA,NA,5.3737289378363,NA,NA
ENSG00000141385,6.94373682221203,NA,6.33658115298596,7.00144440721802,6.84210318923315,6.80526878860519,6.5977529968925,6.98156143274726,6.75316278198236,7.83259807356993,6.41195421847039
ENSG00000079557,5.88853330257163,6.97322560591966,6.48097915214375,5.58570799021247,6.39670353881819,NA,7.02457627936975,NA,6.83383892973282,5.70367840523254,5.8751136702033
ENSG00000183077,NA,NA,NA,6.62593797305633,NA,NA,NA,6.66345784723521,NA,NA,NA
ENSG00000038002,6.05468964294998,6.69614955912892,NA,6.29342601734272,6.73047168000178,6.27061052836562,6.5599644360031,5.93679040445916,5.51537399780767,NA,6.12609241039744
ENSG00000204305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9530922283189
ENSG00000173744,6.23078090200566,NA,5.63553414890478,NA,5.79385584309251,NA,NA,NA,5.42789175907572,5.92306119453658,6.4260638458177
ENSG00000106351,NA,NA,5.44614544773563,NA,NA,NA,NA,NA,5.66484550902257,NA,NA
ENSG00000006530,7.21343806262377,NA,6.3421316135432,6.91377287016406,7.08771563964717,5.95142196430198,5.47041799648296,NA,5.90648785919033,7.52412766661522,5.96199833467008
ENSG00000162688,6.18687161436454,6.85745312949434,6.25001477900568,NA,6.48577691765334,5.92469632175407,6.6862065201393,8.17243557221083,6.30803108599276,7.08058334033979,5.38130681979042
ENSG00000116771,NA,NA,NA,8.49030623172543,NA,NA,NA,7.64976089294379,6.38675125076804,NA,NA
ENSG00000092847,6.19934371868939,NA,6.73210966895755,NA,NA,NA,6.50266703812452,NA,6.05149228379509,NA,NA
ENSG00000123908,5.71909086663274,NA,6.18968396227663,NA,NA,5.20642020283501,6.69231043275271,NA,6.5475531743702,5.53146017362863,5.49581342243198
ENSG00000126070,5.31443606858454,NA,6.23216594929947,NA,5.91687114840242,NA,5.87415703836325,NA,NA,NA,NA
ENSG00000169692,NA,NA,NA,NA,NA,NA,NA,6.29154056684811,NA,NA,5.8918299125867
ENSG00000160216,NA,NA,NA,6.83154833341798,NA,NA,NA,6.66588720545017,NA,NA,NA
ENSG00000155189,6.70200810031504,NA,5.20489045372395,6.4985775640648,5.84260419125459,NA,NA,6.1138926827905,5.58135327169816,NA,NA
ENSG00000018510,6.32226065414368,NA,NA,6.10889895569998,7.0719996839103,5.64422901368397,5.37558505540193,5.9216566613301,6.48636377663482,NA,6.53313803718166
ENSG00000106541,NA,NA,NA,6.67796659973237,NA,7.20748541586747,8.18423138536377,NA,8.69398280167587,NA,8.29430509544261
ENSG00000173467,NA,NA,NA,NA,NA,NA,NA,NA,6.67750098641581,NA,6.92838466733282
ENSG00000188157,5.7245543842827,5.1254033507225,5.62522581078876,6.27217922663004,6.17693807065743,6.54214157483126,6.29871434235023,5.87470684769664,6.76142205697392,6.0246112198127,7.09056669391366
ENSG00000135744,7.1407907766253,7.96997082642565,7.54612673189338,7.39737139193918,7.39196620711622,7.19042566150394,7.84964968611406,7.60179493479905,7.28161281863104,6.99555710602958,7.53742651691638
ENSG00000177674,6.01279505814541,NA,NA,6.3645020510164,5.71270739961165,NA,5.92351321995415,NA,NA,NA,5.97988303854856
ENSG00000172482,NA,NA,NA,NA,NA,NA,NA,8.88098847902981,NA,NA,NA
ENSG00000113492,NA,NA,NA,7.11917494454319,NA,NA,NA,6.02916531425059,NA,NA,NA
ENSG00000101444,7.81560430986563,8.01806294604494,8.04620121208592,8.25688586816092,7.89652036897082,7.77914762482843,7.9257679545141,8.12973699763659,7.53598194329355,7.64076798771333,7.41495765424
ENSG00000168710,NA,NA,NA,NA,5.48647224409558,NA,NA,NA,5.84606129961625,NA,NA
ENSG00000158467,NA,NA,NA,NA,6.3576422570358,NA,NA,NA,7.08109379504745,NA,NA
ENSG00000124942,7.08703566480566,7.33306968116905,7.51399260519756,6.15277516198767,7.09852734188248,7.36170814520306,7.54398827260877,7.49045457246605,7.96952817485969,7.33818824264828,7.52986729165424
ENSG00000185567,4.87440063357325,NA,NA,NA,NA,NA,5.44046452497164,NA,6.605426535929,NA,4.49817754126783
ENSG00000100591,6.98107527802145,7.29374462134056,7.68019130313626,6.90648232621526,6.13364026216026,6.83874365570094,6.43436606586174,NA,6.8584742339392,NA,6.63767180009387
ENSG00000145192,6.97038872271865,8.12731942984855,7.86192425689832,7.40336336570373,7.60968642613163,6.53479687104485,8.09675739557565,NA,7.66169197564519,7.40059289676993,7.39889845005425
ENSG00000169877,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.73282119662612,NA
ENSG00000186063,5.94061608233741,NA,6.15953935385123,5.96237946679166,6.85760460634618,NA,6.17670398663036,NA,6.54157026780129,5.70259274227836,6.29867628956946
ENSG00000126878,NA,NA,NA,7.20610879336879,NA,NA,NA,NA,NA,NA,NA
ENSG00000156709,8.05948768427445,6.56239034811084,6.83144359786089,8.15714313258965,7.94063842527017,7.68255964012597,7.14494620543211,8.37160393486654,7.36173400715893,8.70427232625889,7.29774609647731
ENSG00000042286,6.46062726365139,NA,NA,NA,NA,NA,NA,NA,5.30170963951471,NA,NA
ENSG00000146416,6.32982484431292,NA,6.42873546697444,6.80257668326201,6.68672221890719,NA,6.19420673020013,6.71773683921748,6.38206091858066,6.60262125522782,6.30179621784218
ENSG00000112297,NA,NA,NA,NA,NA,NA,NA,NA,5.79595273183048,NA,NA
ENSG00000164022,7.25183281862864,6.81019093588871,6.71574327623426,6.98117787790124,7.22092282284468,7.08723185950269,6.86057208511269,6.12666607478041,7.13214327229261,6.09836696208613,6.99134630422414
ENSG00000106305,7.18842221463583,6.782156502733,6.52277950476937,6.61806676131539,6.89369386244144,6.68807797557529,6.22439889817358,6.31836287803056,6.97578892916426,6.84890981220322,6.81980242534163
ENSG00000110711,6.25029799233986,6.55793965165928,6.52422205735425,6.44299957396039,6.72593453987234,5.85661063399762,6.44627651511567,NA,6.52415062042604,5.92554530186887,6.69752891955318
ENSG00000106992,7.45753371632655,7.98690662085003,8.2058087955292,7.61484939996509,7.86133286167146,7.36988699879632,8.03369536169531,7.05651562762215,8.08496381279674,8.6404637276638,7.81959069486767
ENSG00000004455,7.7663087229404,6.71496434276747,7.48914300038925,8.41873789125545,7.56559032463049,7.36567667066231,7.60652325522098,8.01784738838802,7.83944055217842,8.11664462659768,7.96133667527322
ENSG00000147853,7.84688736466289,7.69397879544938,7.3804265654765,7.88502057499252,6.98121782716561,7.16979689747509,7.43617211294051,7.88835994149844,7.2168615469562,8.25008504502803,7.59274823143894
ENSG00000162433,5.72158805438068,6.72691960412689,6.57778096783467,8.6554426572301,7.27912329130946,NA,7.23549530972151,8.04034226371908,7.49781223754233,8.17451165255995,6.60560818055419
ENSG00000131016,6.33164995455274,5.56801084584208,7.33948206164492,5.43810466437535,7.3638013689431,6.20228157013928,6.9123764790478,5.96588102294385,7.29059865493426,5.25126956719174,6.54612148534232
ENSG00000170776,NA,NA,NA,NA,5.0054809815316,NA,NA,NA,4.85477599504646,NA,NA
